"module name","license","repository"
"defs@1.1.1","MIT","https://github.com/olov/defs"
"deglob@1.0.2","ISC","git+https://github.com/flet/deglob"
"delayed-stream@0.0.5","MIT*","https://github.com/felixge/node-delayed-stream"
"delayed-stream@1.0.0","MIT","https://github.com/felixge/node-delayed-stream"
"depd@1.0.1","MIT","https://github.com/dougwilson/nodejs-depd"
"destroy@1.0.3","MIT","https://github.com/stream-utils/destroy"
"detect-indent@3.0.1","MIT","https://github.com/sindresorhus/detect-indent"
"detective@4.3.1","MIT","https://github.com/substack/node-detective"
"dezalgo@1.0.3","ISC","https://github.com/npm/dezalgo"
"diff@1.4.0","BSD","https://github.com/kpdecker/jsdiff"
"disparity@2.0.0","MIT","https://github.com/millermedeiros/disparity"
"dns.js@1.0.1","MIT","https://github.com/indutny/dns.js"
"doctrine@0.6.4","BSD","http://github.com/Constellation/doctrine"
"dom-walk@0.1.1","MIT","https://github.com/Raynos/dom-walk"
"duplexer2@0.0.2","BSD","https://github.com/deoxxa/duplexer2"
"duplexify@3.4.2","MIT","https://github.com/mafintosh/duplexify"
"ecc-jsbn@0.1.1","MIT","https://github.com/quartzjer/ecc-jsbn"
"ecurve@1.0.2","MIT","https://github.com/cryptocoinjs/ecurve"
"ee-first@1.1.1","MIT","https://github.com/jonathanong/ee-first"
"elistener@1.0.2","ISC",""
"elliptic@3.1.0","MIT","https://github.com/indutny/elliptic"
"elliptic@6.0.2","MIT","https://github.com/indutny/elliptic"
"end-of-stream@1.0.0","MIT","https://github.com/mafintosh/end-of-stream"
"end-of-stream@1.1.0","MIT","https://github.com/mafintosh/end-of-stream"
"errno@0.1.4","MIT","https://github.com/rvagg/node-errno"
"error@7.0.2","MIT","https://github.com/Raynos/error"
"es-abstract@1.4.3","MIT","https://github.com/ljharb/es-abstract"
"es-to-primitive@1.0.0","MIT","https://github.com/ljharb/es-to-primitive"
"es5-ext@0.10.10","MIT","https://github.com/medikoo/es5-ext"
"es6-iterator@2.0.0","MIT","https://github.com/medikoo/es6-iterator"
"es6-map@0.1.3","MIT","https://github.com/medikoo/es6-map"
"es6-set@0.1.3","MIT","https://github.com/medikoo/es6-set"
"es6-symbol@3.0.2","MIT","https://github.com/medikoo/es6-symbol"
"es6-weak-map@2.0.1","MIT","https://github.com/medikoo/es6-weak-map"
"escape-html@1.0.2","MIT","https://github.com/component/escape-html"
"escape-string-regexp@1.0.3","MIT","https://github.com/sindresorhus/escape-string-regexp"
"escope@3.3.0","BSD-2-Clause","git+https://github.com/estools/escope"
"esformatter@0.8.1","MIT","git+https://github.com/millermedeiros/esformatter"
"esformatter-eol-last@1.0.0","ISC","https://github.com/briandipalma/esformatter-eol-last"
"esformatter-ignore@0.1.3","MIT","git+https://github.com/royriojas/esformatter-ignore"
"esformatter-jsx@2.3.11","MIT","git+https://github.com/royriojas/esformatter-jsx"
"esformatter-literal-notation@1.0.1","MIT","git+https://github.com/kewah/esformatter-literal-notation"
"esformatter-quotes@1.0.3","MIT","https://github.com/millermedeiros/esformatter-quotes"
"esformatter-semicolon-first@1.1.0","MIT","https://github.com/millermedeiros/esformatter-semicolon-first"
"esformatter-spaced-lined-comment@2.0.1","ISC","https://github.com/briandipalma/esformatter-spaced-lined-comment"
"eslint@0.24.1","MIT","https://github.com/eslint/eslint"
"eslint-config-standard@3.4.1","MIT","https://github.com/feross/eslint-config-standard"
"eslint-config-standard-react@1.0.1","MIT","https://github.com/feross/eslint-config-standard-react"
"eslint-plugin-react@2.7.1","MIT","git+https://github.com/yannickcr/eslint-plugin-react"
"espree@2.2.5","BSD","http://github.com/eslint/espree"
"esprima@1.0.4","BSD","http://github.com/ariya/esprima"
"esprima@2.7.1","BSD-2-Clause","git+https://github.com/jquery/esprima"
"esprima-fb@15001.1001.0-dev-harmony-fb","BSD","http://github.com/facebook/esprima"
"esrecurse@3.1.1","BSD","http://github.com/estools/esrecurse"
"estraverse@3.1.0","BSD","http://github.com/estools/estraverse"
"estraverse@4.1.1","BSD-2-Clause","https://github.com/estools/estraverse"
"estraverse-fb@1.3.1","MIT","https://github.com/RReverser/estraverse-fb"
"esutils@1.1.6","BSD","http://github.com/Constellation/esutils"
"esutils@2.0.2","BSD","http://github.com/estools/esutils"
"etag@1.7.0","MIT","https://github.com/jshttp/etag"
"event-emitter@0.3.4","MIT","https://github.com/medikoo/event-emitter"
"exit-hook@1.1.1","MIT","https://github.com/sindresorhus/exit-hook"
"express@4.13.3","MIT","https://github.com/strongloop/express"
"extend@1.2.1","MIT*","https://github.com/justmoon/node-extend"
"extend@2.0.1","MIT","https://github.com/justmoon/node-extend"
"extend@3.0.0","MIT","https://github.com/justmoon/node-extend"
"extend.js@0.0.2","MIT*",""
"externr@1.0.0","MIT","https://github.com/rvagg/externr"
"extsprintf@1.0.2","MIT*","https://github.com/davepacheco/node-extsprintf"
"fast-levenshtein@1.0.7","MIT","https://github.com/hiddentao/fast-levenshtein"
"figures@1.4.0","MIT","https://github.com/sindresorhus/figures"
"filestream@4.1.1","MIT","https://github.com/DamonOehlman/filestream"
"finalhandler@0.4.0","MIT","https://github.com/pillarjs/finalhandler"
"find-root@0.1.1","MIT","https://github.com/agilemd/find-root"
"flatten@0.0.1","MIT*","https://github.com/jesusabdullah/node-flatten"
"for-each@0.3.2","MIT","https://github.com/Raynos/for-each"
"for-in@0.1.4","MIT","https://github.com/jonschlinkert/for-in"
"for-own@0.1.3","MIT","https://github.com/jonschlinkert/for-own"
"foreach@2.0.5","MIT","https://github.com/manuelstofer/foreach"
"forever-agent@0.6.1","Apache-2.0","https://github.com/mikeal/forever-agent"
"form-data@0.2.0","MIT","https://github.com/felixge/node-form-data"
"form-data@1.0.0-rc3","MIT","https://github.com/form-data/form-data"
"formidable@1.0.14","MIT*","https://github.com/felixge/node-formidable"
"forwarded@0.1.0","MIT","https://github.com/jshttp/forwarded"
"fresh@0.3.0","MIT","https://github.com/jshttp/fresh"
"fresh-falafel@1.2.0","MIT","https://github.com/substack/node-falafel"
"from2@1.3.0","MIT","https://github.com/hughsk/from2"
"fs-readdir-recursive@0.1.2","MIT","https://github.com/fs-utils/fs-readdir-recursive"
"function-bind@1.0.2","MIT","https://github.com/Raynos/function-bind"
"functional-red-black-tree@1.0.1","MIT","https://github.com/mikolalysenko/functional-red-black-tree"
"generate-function@2.0.0","MIT","https://github.com/mafintosh/generate-function"
"generate-object-property@1.2.0","MIT","https://github.com/mafintosh/generate-object-property"
"get-stdin@4.0.1","MIT","https://github.com/sindresorhus/get-stdin"
"glob@5.0.15","ISC","https://github.com/isaacs/node-glob"
"global@4.3.0","MIT","https://github.com/Raynos/global"
"globals@6.4.1","MIT","https://github.com/sindresorhus/globals"
"globals@8.14.0","MIT","https://github.com/sindresorhus/globals"
"graceful-fs@4.1.2","ISC","https://github.com/isaacs/node-graceful-fs"
"graceful-readlink@1.0.1","MIT","https://github.com/zhiyelee/graceful-readlink"
"har-validator@2.0.3","ISC","https://github.com/ahmadnassri/har-validator"
"has@1.0.1","MIT","https://github.com/tarruda/has"
"has-ansi@2.0.0","MIT","https://github.com/sindresorhus/has-ansi"
"hash.js@1.0.3","MIT","https://github.com/indutny/hash.js"
"hashmap@2.0.4","MIT","https://github.com/flesler/hashmap"
"hat@0.0.3","MIT/X11","http://github.com/substack/node-hat"
"hawk@3.1.2","BSD-3-Clause","https://github.com/hueniverse/hawk"
"hoek@2.16.3","BSD-3-Clause","https://github.com/hapijs/hoek"
"home-or-tmp@1.0.0","MIT","https://github.com/sindresorhus/home-or-tmp"
"http-errors@1.3.1","MIT","https://github.com/jshttp/http-errors"
"http-signature@1.1.0","MIT","https://github.com/joyent/node-http-signature"
"iconv-lite@0.4.13","MIT","https://github.com/ashtuchkin/iconv-lite"
"ignore@2.2.19","MIT","https://github.com/kaelzhang/node-ignore"
"inflight@1.0.4","ISC","https://github.com/isaacs/inflight"
"inherit@2.2.2","MIT","http://github.com/dfilatov/node-inherit"
"inherits@2.0.1","ISC","https://github.com/isaacs/inherits"
"ini@1.3.4","ISC","https://github.com/isaacs/ini"
"inquirer@0.8.5","MIT","https://github.com/SBoudrias/Inquirer.js"
"invert-kv@1.0.0","MIT","https://github.com/sindresorhus/invert-kv"
"ip-regex@1.0.3","MIT","https://github.com/sindresorhus/ip-regex"
"ipaddr.js@1.0.5","MIT","https://github.com/whitequark/ipaddr.js"
"is-absolute@0.1.7","MIT","https://github.com/jonschlinkert/is-absolute"
"is-buffer@1.1.0","MIT","https://github.com/feross/is-buffer"
"is-callable@1.1.1","MIT","https://github.com/ljharb/is-callable"
"is-date-object@1.0.1","MIT","https://github.com/ljharb/is-date-object"
"is-file@1.0.0","MIT","https://github.com/jsdevel/node-is-file"
"is-finite@1.0.1","MIT","https://github.com/sindresorhus/is-finite"
"is-function@1.0.1","MIT","https://github.com/grncdr/js-is-function"
"is-integer@1.0.6","WTFPL","https://github.com/parshap/js-is-integer"
"is-ip@1.0.0","MIT","https://github.com/sindresorhus/is-ip"
"is-my-json-valid@2.12.3","MIT","https://github.com/mafintosh/is-my-json-valid"
"is-property@1.0.2","MIT","https://github.com/mikolalysenko/is-property"
"is-regex@1.0.3","MIT","https://github.com/ljharb/is-regex"
"is-relative@0.1.3","MIT","https://github.com/jonschlinkert/is-relative"
"is-symbol@1.0.1","MIT","https://github.com/ljharb/is-symbol"
"is-typedarray@1.0.0","MIT","https://github.com/hughsk/is-typedarray"
"isarray@0.0.1","MIT","https://github.com/juliangruber/isarray"
"isobject@1.0.2","MIT","https://github.com/jonschlinkert/isobject"
"isstream@0.1.2","MIT","https://github.com/rvagg/isstream"
"jodid25519@1.0.2","MIT","https://github.com/meganz/jodid25519"
"js-beautify@1.5.10","MIT","https://github.com/beautify-web/js-beautify"
"js-tokens@1.0.1","MIT","https://github.com/lydell/js-tokens"
"js-yaml@3.4.6","MIT","git+https://github.com/nodeca/js-yaml"
"jsbn@0.1.0","BSD","https://github.com/andyperlitch/jsbn"
"jsesc@0.5.0","MIT","https://github.com/mathiasbynens/jsesc"
"json-schema@0.2.2","AFLv2.1,BSD","http://github.com/kriszyp/json-schema"
"json-stable-stringify@1.0.0","MIT","https://github.com/substack/json-stable-stringify"
"json-stringify-safe@5.0.1","ISC","https://github.com/isaacs/json-stringify-safe"
"json5@0.4.0","MIT","https://github.com/aseemk/json5"
"jsonify@0.0.0","Public Domain","http://github.com/substack/jsonify"
"jsonpointer@2.0.0","MIT","http://github.com/janl/node-jsonpointer"
"jsprim@1.2.2","MIT","https://github.com/davepacheco/node-jsprim"
"junk@1.0.2","MIT","https://github.com/sindresorhus/junk"
"k-bucket@0.4.4","MIT","https://github.com/tristanls/k-bucket"
"kind-of@2.0.1","MIT","https://github.com/jonschlinkert/kind-of"
"lazy-cache@0.2.7","MIT","git+https://github.com/jonschlinkert/lazy-cache"
"lcid@1.0.0","MIT","https://github.com/sindresorhus/lcid"
"left-pad@0.0.3","BSD","https://github.com/azer/left-pad"
"length-prefixed-stream@1.4.0","MIT","https://github.com/mafintosh/length-prefixed-stream"
"level-errors@1.0.4","MIT","https://github.com/level/errors"
"level-live-stream@1.4.11","MIT","https://github.com/dominictarr/level-live-stream"
"level-post@1.0.4","MIT","https://github.com/dominictarr/level-post"
"level-sublevel@6.3.17","MIT","https://github.com/dominictarr/level-sublevel"
"levelup@0.18.6","MIT","https://github.com/rvagg/node-levelup"
"levelup@0.19.0","MIT","https://github.com/rvagg/node-levelup"
"leven@1.0.2","MIT","https://github.com/sindresorhus/leven"
"levn@0.2.5","MIT","https://github.com/gkz/levn"
"lexicographic-integer@1.1.0","MIT","https://github.com/substack/lexicographic-integer"
"line-numbers@0.2.0","MIT","https://github.com/lydell/line-numbers"
"lodash@3.10.1","MIT","https://github.com/lodash/lodash"
"logbase@3.3.2","ISC","https://github.com/mvayngrib/logbase"
"longest@1.0.1","MIT","https://github.com/jonschlinkert/longest"
"looper@2.0.0","MIT","https://github.com/dominictarr/looper"
"lru-cache@3.2.0","ISC","https://github.com/isaacs/node-lru-cache"
"ltgt@1.0.2","MIT","https://github.com/dominictarr/ltgt"
"ltgt@2.0.0","MIT","https://github.com/dominictarr/ltgt"
"magnet-uri@4.2.3","MIT","https://github.com/feross/magnet-uri"
"map-stream@0.0.6","MIT","https://github.com/dominictarr/map-stream"
"media-typer@0.3.0","MIT","https://github.com/jshttp/media-typer"
"memdown@1.1.0","MIT","git+https://github.com/rvagg/node-memdown"
"merge-descriptors@1.0.0","MIT","https://github.com/component/merge-descriptors"
"methods@1.0.1","MIT","https://github.com/visionmedia/node-methods"
"methods@1.1.1","MIT","https://github.com/jshttp/methods"
"mime@1.3.4","MIT","https://github.com/broofa/node-mime"
"mime-db@1.12.0","MIT","https://github.com/jshttp/mime-db"
"mime-db@1.20.0","MIT","https://github.com/jshttp/mime-db"
"mime-types@2.0.14","MIT","https://github.com/jshttp/mime-types"
"mime-types@2.1.8","MIT","https://github.com/jshttp/mime-types"
"min-document@2.17.0","MIT","https://github.com/Raynos/min-document"
"minimatch@2.0.10","ISC","https://github.com/isaacs/minimatch"
"minimatch@3.0.0","ISC","https://github.com/isaacs/minimatch"
"minimist@0.0.8","MIT","https://github.com/substack/minimist"
"minimist@1.2.0","MIT","https://github.com/substack/minimist"
"mkdirp@0.5.1","MIT","https://github.com/substack/node-mkdirp"
"monotonic-timestamp@0.0.9","MIT","https://github.com/dominictarr/monotonic-timestamp"
"mout@0.11.1","MIT","https://github.com/mout/mout"
"ms@0.7.1","MIT*","https://github.com/guille/ms.js"
"multistream@2.0.2","MIT","https://github.com/feross/multistream"
"mute-stream@0.0.4","BSD","https://github.com/isaacs/mute-stream"
"mutexify@1.1.0","MIT","https://github.com/mafintosh/mutexify"
"negotiator@0.5.3","MIT","https://github.com/jshttp/negotiator"
"nets@3.2.0","ISC","https://github.com/maxogden/nets"
"network-address@1.0.0","MIT","https://github.com/mafintosh/network-address"
"node-uuid@1.4.7","MIT","https://github.com/broofa/node-uuid"
"nopt@3.0.6","ISC","https://github.com/npm/nopt"
"npm-path@1.0.2","MIT","git+https://github.com/timoxley/npm-path"
"npm-run@1.1.1","MIT","https://github.com/timoxley/npm-run"
"number-is-nan@1.0.0","MIT","https://github.com/sindresorhus/number-is-nan"
"oauth-sign@0.8.0","Apache-2.0","https://github.com/mikeal/oauth-sign"
"object-assign@2.1.1","MIT","https://github.com/sindresorhus/object-assign"
"object-inspect@1.0.2","MIT","https://github.com/substack/object-inspect"
"object-keys@1.0.9","MIT","https://github.com/ljharb/object-keys"
"object-path@0.6.0","MIT","https://github.com/mariocasciaro/object-path"
"object.omit@1.1.0","MIT","https://github.com/jonschlinkert/object.omit"
"object.pick@1.1.1","MIT","https://github.com/jonschlinkert/object.pick"
"on-finished@2.3.0","MIT","https://github.com/jshttp/on-finished"
"once@1.1.1","BSD","https://github.com/isaacs/once"
"once@1.3.3","ISC","https://github.com/isaacs/once"
"optionator@0.5.0","MIT","https://github.com/gkz/optionator"
"os-homedir@1.0.1","MIT","https://github.com/sindresorhus/os-homedir"
"os-locale@1.4.0","MIT","https://github.com/sindresorhus/os-locale"
"os-shim@0.1.3","MIT","https://github.com/h2non/node-os-shim"
"os-tmpdir@1.0.1","MIT","https://github.com/sindresorhus/os-tmpdir"
"output-file-sync@1.1.1","MIT","https://github.com/shinnn/output-file-sync"
"parse-headers@2.0.1","MIT","https://github.com/kesla/parse-headers"
"parse-torrent@3.0.1","MIT","https://github.com/feross/parse-torrent"
"parse-torrent-file@2.1.4","MIT","https://github.com/feross/parse-torrent-file"
"parseurl@1.3.0","MIT","https://github.com/expressjs/parseurl"
"path-exists@1.0.0","MIT","https://github.com/sindresorhus/path-exists"
"path-is-absolute@1.0.0","MIT","https://github.com/sindresorhus/path-is-absolute"
"path-to-regexp@0.1.7","MIT","git+https://github.com/component/path-to-regexp"
"piece-length@0.0.0","MIT","https://github.com/michaelrhodes/piece-length"
"pinkie@2.0.1","MIT","https://github.com/floatdrop/pinkie"
"pinkie-promise@2.0.0","MIT","https://github.com/floatdrop/pinkie-promise"
"pkg-config@1.1.0","MIT","git+https://github.com/ahmadnassri/pkg-config"
"pre-commit@1.1.2","MIT","https://github.com/observing/pre-commit"
"prelude-ls@1.1.2","MIT","https://github.com/gkz/prelude-ls"
"private@0.1.6","MIT","https://github.com/benjamn/private"
"process@0.5.2","MIT*","https://github.com/shtylman/node-process"
"process-nextick-args@1.0.6","MIT","https://github.com/calvinmetcalf/process-nextick-args"
"proto-list@1.2.4","ISC","git+https://github.com/isaacs/proto-list"
"protochain@1.0.3","ISC","git+https://github.com/timoxley/protochain"
"proxy-addr@1.0.10","MIT","https://github.com/jshttp/proxy-addr"
"prr@0.0.0","MIT","https://github.com/rvagg/prr"
"pseudomap@1.0.1","ISC","git+https://github.com/isaacs/pseudomap"
"pull-cat@1.1.8","MIT","https://github.com/dominictarr/pull-cat"
"pull-core@1.0.0","MIT","https://github.com/dominictarr/pull-core"
"pull-core@1.1.0","MIT","https://github.com/dominictarr/pull-core"
"pull-level@1.4.1","MIT","https://github.com/dominictarr/pull-level"
"pull-pushable@1.1.4","MIT","https://github.com/dominictarr/pull-pushable"
"pull-stream@2.18.3","MIT","https://github.com/dominictarr/pull-stream"
"pull-stream@2.21.0","MIT","https://github.com/dominictarr/pull-stream"
"pull-stream@2.28.4","MIT","https://github.com/dominictarr/pull-stream"
"pull-stream-to-stream@1.2.6","MIT","https://github.com/dominictarr/pull-stream-to-stream"
"pull-window@2.1.3","MIT","https://github.com/dominictarr/pull-window"
"pump@1.0.1","MIT","https://github.com/mafintosh/pump"
"q@1.4.1","MIT","https://github.com/kriskowal/q"
"qs@2.3.3","BSD","https://github.com/hapijs/qs"
"qs@4.0.0","BSD-3-Clause","https://github.com/hapijs/qs"
"qs@5.2.0","BSD-3-Clause","https://github.com/hapijs/qs"
"randombytes@2.0.1","MIT","https://github.com/crypto-browserify/randombytes"
"range-parser@1.0.3","MIT","https://github.com/jshttp/range-parser"
"re-emitter@1.1.1","MIT","https://github.com/feross/re-emitter"
"readable-stream@1.0.27-1","MIT","https://github.com/isaacs/readable-stream"
"readable-stream@1.0.33","MIT","https://github.com/isaacs/readable-stream"
